URL,Name,ncbi tx id,Gene bank common name,1st Cb slice,Last Cb slice,Cb slices,Mid Cb slice,Status,Review,Cb 25% slice,Status.1,Review.1,Cb 75% slice,Status.2,Scale bar (mm),Comment,1st Ctx slice,Last Ctx slice,Cortex slices,Mid Ctx slice,Status.3,Review.2,Ctx 25% slice,Status.4,Ctx 75% slice,Status.5,Unnamed: 27,Dentate_there,Unnamed: 29
https://microdraw.pasteur.fr/sheep_cor_cell/sheep_cor_cell.json,Sheep,,,34.0,51.0,18,43.0,Done (KH),,38.0,Done (SLV),x KH x,47.0,Done(SLV),5.0,,1.0,42.0,42.0,22.0,Done (KH),,11.0,Done  (KH),32.0,Done (KH),,,
https://microdraw.pasteur.fr/potto_cor_cell/potto_cor_cell.json,Potto,,,46.0,64.0,19,55.0,Done (KH),,51.0,Done (SLV),x KH x,60.0,Done (SLV),10.0,,6.0,60.0,55.0,33.0,Done (KH),,20.0,Done  (KH),47.0,Done (KH),,,
https://microdraw.pasteur.fr/howler_cor_cell/howler_cor_cell.json,Mantled howler,,,54.0,84.0,31,69.0,Done (KH),,62.0,Done (RT),,77.0,Done (RT),10.0,,0.0,86.0,87.0,43.0,Done (KH),,22.0,Done  (KH),65.0,Done (KH),,,
https://microdraw.pasteur.fr/pigmacaque_cor_cell/pigmacaque_cor_cell.json,Pig-tailed macaque,,,20.0,31.0,12,26.0,Done (KH),,23.0,Done (RT),KH,28.0,Done (RT),10.0,,0.0,33.0,34.0,17.0,Done (KH),,8.0,Done  (KH),25.0,Done (KH),,,
https://microdraw.pasteur.fr/langur_cor_cell/langur_cor_cell.json,Northern Plains Gray langur,,,37.0,54.0,18,46.0,Done (KH),,41.0,Done (SLV),x KH x,50.0,Done (SLV),10.0,,0.0,55.0,56.0,28.0,Done (KH),,14.0,Done  (KH),41.0,Done (KH),,,
https://microdraw.pasteur.fr/rabbit_cor_cell/rabbit_cor_cell.json,European rabbit,,,49.0,64.0,16,57.0,Done (KH),,53.0,Done (KH),,60.0,Done (KH),10.0,,11.0,52.0,42.0,32.0,Done (KH),,21.0,Done  (KH),42.0,Done (KH),,,
https://microdraw.pasteur.fr/treeshrew_cor_cell/treeshrew_cor_cell.json,Treeshrew,,,42.0,58.0,17,50.0,Done (KH),,46.0,Done (KH),,54.0,Done (KH),5.0,,5.0,45.0,41.0,25.0,Done (KH),,15.0,Done  (KH),35.0,Done (KH),,,
https://microdraw.pasteur.fr/twotoesloth_cor_cell/twotoesloth_cor_cell.json,Two-toed Sloth,,,67.0,86.0,20,77.0,Done (KH),,72.0,Done (KH),,81.0,Done (KH),10.0,,15.0,70.0,56.0,43.0,Done (KH),,29.0,Done  (KH),56.0,Done (KH),,,
https://microdraw.pasteur.fr/collaredanteater_cor_cell/collaredanteater_cor_cell.json,Collared anteater,,,35.0,47.0,13,41.0,Done (KH),,38.0,Done (KH),,44.0,Done (KH),5.0,,5.0,37.0,33.0,21.0,Done (KH),,13.0,Done  (KH),29.0,Done (KH),,,
https://microdraw.pasteur.fr/elephantshrew_cor_cell/elephantshrew_cor_cell.json,Elephant shrew,,,19.0,28.0,10,24.0,Done (KH),,21.0,Done (KH),,26.0,Done (KH),5.0,,0.0,19.0,20.0,10.0,Done (KH),,5.0,Done  (KH),14.0,Done (KH),,,
https://microdraw.pasteur.fr/graykangaroo_cor_cell/graykangaroo_cor_cell.json,Gray kangaroo,,,84.0,120.0,37,102.0,Done (KH),,93.0,Done (KH),,111.0,Discuss KH,10.0,,7.0,87.0,81.0,47.0,Done (KH),,27.0,Done  (KH),67.0,Done (KH),,,
